Symbol,Name,Address,Blockchain,Price,PriceYesterday,VolumeYesterdayUSD,Time,Source,Signature
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,91001.77566230367,92714.8820203345,15163490571.590359,2025-12-04T19:26:00Z,diadata.org,0x6c50f50db411aeb821aeb0b542f25fb2d3349f3ba0f821a8ba2835b49070e2842c2e08e8981ef9ca7d02a6732bea2774260c7445aa233bb3aa732a2b2c67f12a01
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,91271.34153340053,92735.35687041793,15163490571.590359,2025-12-04T19:27:59Z,diadata.org,0xe5ee4107b5113ef0a588e854d887c9482481e911ef96564da4ae68ad5c0294625b5478ed2d8b858b44be846517a07e9d67365b9c09d4826b11e4a5b7f1f6308901
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,91359.48018329365,92764.5721051683,15163490571.590359,2025-12-04T19:29:59Z,diadata.org,0x1e555223438e13d5b800e1ba4b82315b07b1ec68edcae014f0aa9230e5258d1b34e4cb9b9b22b8e19fa6021c4d7259fd14e70d9201773c9d7055afe99b84be3d00
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,91408.0788760507,92691.46870196325,15163490571.590359,2025-12-04T19:31:59Z,diadata.org,0x3a2050b3694622c70614f50460c1ca1767d62b6c647db34efb165f523a9e81e94942701e889ecfad0fb53f3f09e2b0ee90ecbaeff66bd2691bb04eb4df02225d00
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,91572.02767032105,92777.6495190971,15163490571.590359,2025-12-04T19:33:59Z,diadata.org,0xdd1940e91e73532d6fb6e274479af406d54d07691ba998c32d308ba1531dc0223297f2db0fb478ef7d3fb07128a7039082869b9cf2f293f482320287e888f92001
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,91743.20910431999,92763.97129887514,15163490571.590359,2025-12-04T19:35:59Z,diadata.org,0x751dcb30b3e2d1ddb535d559b41c8d35a4d7d75fd25f7accb7445fad9da008485c122a0ca6eb0c283366e580184da104c51c2b3d5b2df48f4f92e8bb0227928300
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,91862.7139863318,92665.27713787887,15163490571.590359,2025-12-04T19:37:59Z,diadata.org,0x8e4d5dece95f0baef15915b788939d439e4ea63f5d3433426f40a09327823c066a6957033fe2d9e9354686d9b7a9e038f84e69ca729178020341e28bb1fea87e00
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,91905.13294236617,92692.86953190622,15163490571.590359,2025-12-04T19:41:59Z,diadata.org,0x385ebd446137519a1740ec50ab83126617ce40f245dc918d39f7959c100fcc7f728129c672fb7bf48bee75244554c2c754821b5e2173cbcf13845b8469e45a8900
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,91926.03036502452,92755.78629352115,15163490571.590359,2025-12-04T19:43:59Z,diadata.org,0xbaa86a38f56b88df5c7f5593c77a2020dbcc48a8a8ebfb40dc4615e0b4ec7c0d50d92c6f7ea6a24231557460009c56d7406cd4557279b77fc9d97e9708c70a3f01
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,91980.54272025362,92828.9841019968,15163490571.590359,2025-12-04T19:45:59Z,diadata.org,0x63fb4c10df1d6b3498acacc2a2501e033068e1aca0df593846b6748cdc66ed4164b36223ca77494794fd5e3573e2c6dabe7f7d79f56c226038f3122b6765a1a201
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,91893.2868879594,92903.56198431923,15163490571.590359,2025-12-04T19:47:59Z,diadata.org,0x8dffd968e6b3b0d96853b0159723caedc66dde92ab557542337ba799fed6a1b666d12ffd415e8b5c9db342c95a9c9c3989d5c99b2a52e690e1a7ca330832999f00
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,92084.62563647299,92947.13059600924,15163490571.590359,2025-12-04T19:49:59Z,diadata.org,0x794740acae69b82c1655b8859f3bc1ac438e58da7f14c8a7035c1b10530ba63634a343e48e277ba9b9ea772f6ba20f8bd90139f276165ceb1deb13d408bef36700
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,92041.53964082681,93019.91293125275,15163490571.590359,2025-12-04T19:51:59Z,diadata.org,0xd1616061dcb4a5d62bc0c9883736c67136c254f9166770f5ae2044b1ee0321693121a497d0d171b138957948983c328ca7c0cdb1914a7f2554254ac88ebadb6100
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,91992.20910322838,93073.53348799261,15163490571.590359,2025-12-04T19:53:59Z,diadata.org,0xda059a5b4f9ccdcdaa768ef734595a778c5845dd747651b23283a76bc8557ddd0f6294e5cfe3e1d72b2894f728f28ca1b2b24bf6e5c473691c69ca4c8b7a991301
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,92037.58592042484,92997.53709377487,15163490571.590359,2025-12-04T19:55:59Z,diadata.org,0x50d37df64cde4c4372ef3cc35aceca0a07292d5bd3095edc47553e85c3da9e32739d2dc507c2e21bf7b7b323d55a0782e827f051ca6930ffef3996e9687efc8901
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,92051.11112476831,93024.83555745374,15163490571.590359,2025-12-04T19:57:59Z,diadata.org,0x2c7c2544fa7310aad6b0cc1abbcd57126a047d675cd4f93d9c1793e9b488ce2311f391e8e4aca2549a4a9e51e5f64200fce3fabb901874b7db6d0ef64b52934f01
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,92027.30764432861,93082.77652158639,15163490571.590359,2025-12-04T19:59:59Z,diadata.org,0xbb462c3b446a3ec3f0c0ec33abf1355c4813643315630d3f1f0a76d4d265c3eb11c61b1474d72efcfa104af98a57454c1eb23de656d4b9760b46c83bd1172b2500
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,92093.85091589052,93136.4960634268,15163490571.590359,2025-12-04T20:03:59Z,diadata.org,0xdb0c85d17a9e2897301041cc3c6691b7b5d18093a789e742543f99b2831b638230f0f65236ff5c8b68674d20cd4cac23e8d0ae4f5699d6b5be4ad4c4b132ea9801
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,91990.41163952359,92943.71617907591,15163490571.590359,2025-12-04T20:05:59Z,diadata.org,0xae7b7b225b1119d05f3143490101e3e33027ee25c2f8e1fc6d8f0a9cb498ea1e40b16dd2aad76faa7ad9f0b6e6cc982260f38623f80d82baf6a40ee0c93f46a101
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,91898.48524177124,92973.46837979785,15163490571.590359,2025-12-04T20:07:59Z,diadata.org,0xef29861d18735d186bee1dbd431690c823fe0ff8f3ee724796642c2792981f897756f1aac3a1e8ef5ede0923c61997e585df31948d16422d0f8a6b81edc1100d01
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,91793.84090437686,93053.46914708127,15163490571.590359,2025-12-04T20:09:59Z,diadata.org,0xb4ee4617d69e578abf84b710fa7ad3b8bfa20361d68ae34507007d78727c8e44320c932644c9d41a01daf89455ca4c5426dbc272a4a57ea4540e75a02b2fcb3001
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,91991.50081616166,93073.77182569473,15163490571.590359,2025-12-04T20:11:59Z,diadata.org,0x6eca4a326fbefde830c9e56ddcb2f46882b2bcf6c979775efb90db544b42aaab3435c12fe3535261a61321712e68dfff8e1a778cee7eb1d6fa2007a82adfe18e00
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,92002.61274315331,92960.9264063202,15163490571.590359,2025-12-04T20:14:00Z,diadata.org,0xdc175eafca675c6ccccdf8d3245cfaccc91901c2f40ec282d774988fbf01309169694b9b6a1bde381cf0ee3ec1c17a34425ee9c5f418202fd6c26667356bb54600
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,92022.97039546323,92988.70565994708,15163490571.590359,2025-12-04T20:15:59Z,diadata.org,0x344f50f13970c9688bdd0bbe839cccab82beac949e79969e64638f904fc081c4461102db0833680882cef19436fe609771e563c79cfbf797ed3124106861a6ea00
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,91994.91149124852,92998.0097322996,15163490571.590359,2025-12-04T20:18:00Z,diadata.org,0xf3de4dfec84f5135d3a1fd42306dd6e315628a811124319b3e06204e8285ea2e51d0f25b058cb1d545364012f35a0012a89d44adff3a422e010e4a47233e0cf900
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,91972.0768832566,93009.88689207424,15163490571.590359,2025-12-04T20:19:59Z,diadata.org,0x1b12fc68de917b4d5d4ef17c1107d83d5f36ebc0d4ae31a5aea4ade436c28d6e0eca62d849340f56cf06a12deb211516c646ecc5d85385a14c4ca88ce305766800
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,92059.38407340502,93024.12630440731,15163490571.590359,2025-12-04T20:21:59Z,diadata.org,0x08180071ccc18afab9278707c6d847fc92ef8cedad9ea5c464501b23609618e3500ae5d9d95c4e4f5ee03482d08bbee923793e98c3853f89f0489243814a771c01
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,92078.55422539261,93038.25313467548,15163490571.590359,2025-12-04T20:25:59Z,diadata.org,0x4063c485f7e33342837f0bec47b41963cd711c0ac9645bd66f75f2ae5b3373e27609fde5a264dbb373a48e449723714f8af9ed0027c59ebe34420541e13932b101
BTC,Bitcoin,0x0000000000000000000000000000000000000000,Bitcoin,92166.5268074066,93010.32224773969,15163490571.590359,2025-12-04T20:27:59Z,diadata.org,0x1e5260477d022ec597995f818ec3dcb68ca22de2a115788eb5422473871c73c978efb478187f85dd27b79f700fff6d060cde7266c510076bb3a96cf25c6fbe3100
